project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
SAFStor I-30,TABS2025017279,ExtraSpace Storage,"3011 Dallas Ft. Worth Turnpike, Dallas, TX 75212",Dallas,7/7/2025,7/7/2026,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.",4-story self storage.,"105,024 ft 2",SAFStor,"444 Seabreeze Boulevard Suite 840, Daytona Beach, Florida 32118",(386) 661-8694,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017279,OneFourTwo Architecture PC,"380 Interstate North Pkwy SE Suite 210, Atlanta, Georgia 30339",678.802.8314
SINGHA MULTI-TENANT RESTAURANT AND RETAIL,TABS2025017272,SINGHA MULTI-TENANT RESTAURANT AND RETAIL,"211 N. JOE WILSON ROAD, Cedar Hill, TX 75104",Dallas,4/28/2025,10/28/2025,"$800,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION OF A ONE STORY RETAIL AND RESTAURANT BUILDING WITH DRIVE-THRU ...,"8,337 ft 2","MONACO INVESTMENT GROUP, LLC.","121 CHAPEL HILL DRIVE, PROSPER, Texas 75078",(214) 934-6251,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017272,PSA ENGINEERING,"17819 DAVENPORT ROAD, #215, DALLAS, Texas 75252",(972) 248-9651
La Prenza,TABS2025017270,La Prenza,"9622 Old Seagoville Rd, Dallas, TX 75217",Dallas,7/20/2025,7/20/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a convenience store,"1,165 ft 2",Manuel Lauriano,"8329 Madras Dr, Dallas, Texas 75217",(214) 860-7696,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017270,Project Consulting,"7610 N Stemmons Fwy STE 110, Dallas, Texas 75247",(214) 399-3662
KStar,TABS2025017256,Sterling Plaza,"5949 Sherry Ln. Suite 1700, Dallas, TX 75225",Dallas,5/5/2025,10/10/2025,"$4,750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of interior Office Space,"18,874 ft 2","KBS III Sterling Plaza, LLC","800 Newport Center Dr. Suite 700, Newport Beach, California 92660",(949) 417-6545,"K-Star, Libby Luther",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017256,bha|studio,"3141 Hood St Ste 420, Dallas, Texas 75219",(817) 793-4083
Oakdale Logistics Center - Building 2 - Mocking Bird TI,TABS2025017229,Oakdale Logistics Center - Building 2,"2520 Weir Street, Suite #150, Dallas, TX 75212",Dallas,5/1/2025,8/1/2025,"$650,000",New Construction,"This project is privately funded, on private land for private use.","And addition of a demising wall to separate a 90,223 SF space within an existing 318,260.","90,223 ft 2",BCIF Oakdale Logistics Center LLC,"2300 N. Field Street, Suite 2125, Dallas, Texas 75201",(469) 578-9953,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017229,GSR Andrade Architects,"2001 North Lamar Street, Suite #400, Dallas, Texas 75202",(214) 824-7040
Texas Health Dallas - Hamon Helipad,TABS2025017207,Texas Health Dallas - Hamon Tower,"8200 Walnut Hill Lane, Dallas, TX 75231",Dallas,5/1/2025,12/31/2025,"$6,770,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",To add a helipad on top of an existing building and extend stairs and elevators to it. ,"7,000 ft 2",Texas Health Presbyterian Hospital,"PO Box 92129, Southlake, Texas 76092",214-345-6210,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017207,"HKS, Inc.","350 N Saint Paul St Suite 100, dallas, Texas 75201",214-969-5599
Texas Health Dallas - EP1 Equipment Replacement,TABS2025017204,Texas Health Dallas - Main Building,"8200 Walnut Hill Lane, Dallas, TX 75231",Dallas,5/1/2025,10/31/2025,"$1,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",To replace the medical equipment in the existing EP1 procedure room.,"1,050 ft 2",Texas Health Presbyterian Hospital,"PO Box 921129, Southlake, Texas 76092",214-345-6210,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017204,"HKS, Inc.","350 N Saint Paul St Suite 100, Dallas, Texas 75201",214-969-5599
Plutus Health,TABS2025017202,One Hanover Park,"16633 North Dallas Parkway, Suite 456, Addison, TX 75001",Dallas,5/19/2025,7/30/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"5,863 ft 2",MSSDFOFCB Hanover LLC,"51 Madison Avenue, New York, New York 10010",(800) 624-6782,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017202,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
Rudolph Foods - OMS Expansion,TABS2025017197,Rudolph Foods,"3660 Pipestone Road, Dallas, TX 75212",Dallas,5/12/2025,10/19/2025,"$4,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","new HVAC, walkable IMP ceiling, paint finishes, new rollup doors, new lighting (area of work approx 16000 SF)","16,000 ft 2",ST Germain Holdings LTD,"PO Box 509, Lima, Ohio 45802",(903) 816-2197,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017197,,,
Illinois HiLine,TABS2025017187,Illinois HiLine,"4710 West Illinois Ave, Dallas, TX 75211",Dallas,7/21/2025,4/21/2027,"$34,525,096",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","200-Units Multi-Family including two 4-story buildings, pool, surface parking, underground utilities and landscaping. ","281,566 ft 2","TX Illinois 2024, Ltd.","17440 North Dallas Parkway, Suite 120, Dallas, Texas 75287",(214) 613-6569,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017187,ARRIVE Architecture Group,"2344 Highway 121 Suite 100, BEDFORD, Texas 76021",(817) 514-0584
TIB 1st Floor Renovation,TABS2025017182,TIB,"11701 Luna Rd #6026, Farmers Branch, TX 75234",Dallas,4/28/2025,8/29/2025,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of existing office space. ,"10,862 ft 2",TIB The Independent Bankers Bank,"11701 Luna Rd, Farmers Branch, Texas 75234",(972) 444-3679,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017182,bha|studio,"3141 Hood St Ste 420, Dallas, Texas 75219",(817) 793-4083
THE CHILDREN'S COURTYARD INC,TABS2025017181,THE CHILDREN'S COURTYARD INC,"10409 E NW HWY, Dallas, TX 75238",Dallas,6/14/2025,12/30/2025,"$1,031,400",New Construction,"This project is privately funded, on private land for private use.","ONE STORY WOOD FRAMED CHILD LEARNING CENTER, FLAT ROOF, WOOD FRAMED EXTERIOR BEARING WALLS AND CMU/CONCRETE FOUNDATION. THIS DRAWING INCLUDES A FULL INTERIOR FINISH PACKAGE, PLAYGROUND EQUIPMENT AND FENCING (10,314 SQ FT)","10,314 ft 2","PERSHING DEVELOPMENT, LLC","262 CARROLL STREET STE 115, FORT WORTH, Texas 76106",(682) 888-2194,WESLEY ARNOLD,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017181,ADA ARCHITECTS,"17710 DETROIT AVE, LAKEWOOD, Ohio 44107",216-521-5134
SAFESTOP TRUCK PARKING & LOUNGE,TABS2025017178,SAFESTOP TRUCK PARKING & LOUNGE,"725 E. Wintergreen Road, Hutchins, TX 75141",Dallas,5/19/2025,12/15/2025,"$450,000",New Construction,"This project is privately funded, on private land for private use.",Building Shell and Finishout work for truck drivers rest and break stop,"2,500 ft 2",Sable Realty,"3920 Azure Lane, P.O. Box 535, Addison, Texas 75001",(406) 425-2074,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017178,Abaya Design Studio,"215 S. Denton Tap Road Suite # 215 Suite # 215, Coppell, Texas 75019",(214) 606-0951
1000 N. Peak,TABS2025017168,CAP 1000 N. Peak,"1000 N. Peak, Dallas, TX 75024",Dallas,8/1/2025,12/7/2026,"$10,000,000",New Construction,"This project is privately funded, on private land for private use.",3 Level Wood Framed Multifamily Building with Club Room,"40,000 ft 2","Fenton Dallas, LLC","13747 Montfort Suite 205, Dallas, Texas 75240",(214) 422-3031,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017168,,,
30 Brunch House,TABS2025017141,Oak Grove Plaza,"5250 S State Hwy 78 Ste 100, Sachse, TX 75048",Dallas,5/26/2025,10/24/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Construction of a restaurant in an existing building.,"3,290 ft 2","Tom Forney Investments, LLC","4143 Maple Ave #325, Dallas, Texas 75219",(214) 532-1976,Drilon Smajli,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017141,,,
22274.1 - Subaru T.I. Northwest Expansion Office,TABS2025017126,Park 121 - Building 4,"360 N Freeport Parkway, Coppell, TX 75019",Dallas,4/28/2025,7/28/2025,"$1,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Expansion to the Training Center ,"10,953 ft 2",Prologis,"2021 Mckinney Avenue, Dallas, Texas 75201",(972) 884-9210,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017126,"Meinhardt & Associates Architects, P.L.L.C.","14643 Dallas Parkway, Dallas, Texas 75254",(972) 980-8980
Lochner,TABS2025017122,Tower at Park Central 7,"12750 Merit Drive Suite 570, Dallas, TX 75251",Dallas,5/12/2025,7/1/2025,"$79,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"6,624 ft 2",MORNING CALM MANAGEMENT,"1700 ROCKVILLE PIKE SUITE 330, ROCKVILLE, Maryland 20852",(240) 621-3010,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017122,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALAS, Texas 75240",972-770-2222
Job Tread Expansion,TABS2025017107,Tower at Park Central 7,"12750 Merit Drive Suite 950, Dallas, TX 75251",Dallas,5/12/2025,7/15/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement,"16,987 ft 2",MORNING CALM MANAGEMENT,"1700 ROCKVILLE PIKE SUITE 330, ROCKVILLE, Maryland 20852",(240) 621-3010,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017107,ENTOS DESIGN,"5400 LBJ FREEWAY SUITE 125, DALAS, Texas 75240",972-770-2222
LITTLE RUBY'S CAFE DALLAS,TABS2025017098,23 SPRINGS,"2323 CEDAR SPRINGS ROAD, Dallas, TX 75201",Dallas,5/12/2025,10/31/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","FIRST-TIME INTERIOR TENANT FINISH-OUT OF HALF OF AN EXIST ONE-STORY BLDG W/ UNDERGROUND PARKING. SCOPE CONSIST OF NEW FINISHES, LIGHTING, FURNITURE, FS EQUIP, AND EXTENSION OF EXISTING UTILITIES AND SYSTEMS FOR NEW USE.","4,025 ft 2",Granite Properties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75024",(972) 731-2382,Robert Chislett,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017098,OMNIPLAN,"1845 Woodall Rodgers Fwy, Suite 1600, Dallas, Texas 75201",(214) 775-0671
Gibraltar Glass,TABS2025017081,11644 Ravenview Rd.,"11644 Ravenview Rd., Dallas, TX 75253",Dallas,5/1/2025,8/29/2025,"$225,000",New Construction,"This project is privately funded, on private land for private use.",1st time tenant finish out for office space within warehouse facility.,"7,747 ft 2",B & B Concrete Sawing,"1830 Garden Springs Dr., Dallas, Texas 75243",(972) 286-6853,Brian Boultinghouse,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017081,Entos Design,"5400 Lyndon B Johnson Fwy. 125, Dallas, Texas 75240",(469) 657-7080
City of Dallas DART Group 1 Traffic Signals,TABS2025017076,Various Intersections,"Various, Dallas, TX 75208",Dallas,8/1/2025,12/31/2025,"$2,000,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Traffic Signal Construction, sidewalks, ADA ramps","5,700 ft 2",The City of Dallas,"320 Jefferson Boulevard Room 200, Dallas, Texas 75203",214-670-3182,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017076,Kimley-Horn,"2600 N Central Expressway Suite 400, Richardson, Texas 75080",214-617-0535
Edelman,TABS2025017059,1845 Woodall Rodgers,"1845 Woodall Rodgers Freeway, Suite 1200, Dallas, TX 75201",Dallas,4/21/2025,7/31/2025,"$56,600",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant improvement,"8,456 ft 2","WDC-FUB Office, LLC","1900 N Akard Street, Suite 3000, Dallas, Texas 75201",(214) 855-6012,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017059,ENTOS Design,"5400 LBJ Freeway, Suite 125, Dallas, Texas 75240",(972) 770-2222
EVgo P039362 Wynnewood Village,TABS2025017056,Wynnewood Village,"655 W Illinois Ave - EV, Dallas, TX 75224",Dallas,4/16/2025,10/16/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",Electric vehicle charging station,"1,000 ft 2",Brixmor Holdings 12 SPE LLC,"1525 Fraday Ave #350, Carlsbad, California 92008",858-457-2023,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017056,WB Engineers + Consultants,"1101 Wootton Pkwy Suite 1050, Rockville, Maryland 20852",202-987-3840
Veterans Memorial Star Canopy,TABS2025017055,Veterans Memorial Park,"925 Conover Drive, Grand Prairie, TX 75051",Dallas,7/5/2024,11/10/2024,"$414,000",Additions to Existing Building,"This project involves public funds, public land, or is a Federally funded roadway project.",Adding a Star Shaped Roof Canopy to the existing 5 columns. ,851 ft 2,City of Grand Prairie,"400 College St., Grand Prairie, Texas 75050",(972) 237-8392,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017055,Brohard Architecture,"3028 Selma Lane, Dallas, Texas 75234",(817) 705-6275
